uid;area;titulo;promesa;avance_total;coherencia;;;boletin;titulo_proyecto;link;1° tramite;veto;insistencia;2°-3° tramite;comisión mixta;tribunal constitucional;aprobacion presidencial;promulgado;"rechazado/retirado";nombre_avance;avance;simple;suma;inmediata;total_urgencias;marginal;parcial minima;parcial alta;total;escala de coherencia;justificacion_avance;;;
1;Agricultura;Estatuto del Temporero;Enviaremos al Congreso un proyecto de ley que contenga el Estatuto del Temporero y la Actividad Agrícola de Temporada, que consagre protección a estos trabajadores y trabajadoras.;0%;1;;;;;;;;;;;;;;;;0;;;;0;;;;;1;;;;
2;Agricultura;Ley Monsanto;En el Gobierno anterior, enviamos el proyecto de Ley de Obtentores Vegetales, conocida como “Ley Monsanto”(...) Hemos conocido nuevos antecedentes y presenciado un debate sobre si esa ley es pertinente y cuáles pueden ser sus riesgos. Vamos a revisar ese proyecto de ley, escuchando todas las opiniones, salvaguardando y respetando la soberanía alimentaria y las semillas tradicionales;0%;1;;;;;;;;;;;;;;;;0;;;;0;;;;;1;;;;
3;Agricultura;Sobre el Servicio Agrícola y Ganadero;También deben potenciarse las capacidades técnicas y de fiscalización del Servicio Agrícola y Ganadero (SAG).;100%;4;;;9690-01;Asignaciones y modificaciones a la planta del Servicio Agrícola y Ganadero.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=10104&prmBoletin=9690-01;;;;;;;;1;;Promulgado;1;;3;;3;;;;1;4;Se crean  asignaciones de estímulo para el personal del SAG, nuevos cargos, bonos extraordinarios y un plan institucional anual y rendición de cuentas de éste;;;
4;Agricultura;Formación de la Oficina de Estudios y Políticas Agrarias (ODEPA);Formaremos en la Oficina de Estudios y Políticas Agrarias (ODEPA) un equipo de desarrollo de institucionalidad, regulación y normas de libre competencia que permita revisar las normativas de comercio de tal manera de impedir la operación de formas de comercio en la agroindustria o en el sector forestal que atentan contra los consumidores o los productores.;0%;1;;;;;;;;;;;;;;;;0;;;;0;;;;;1;;;;
5;Agricultura;Prórroga de incentivos a la forestación;En materia forestal, enviaremos al Congreso un proyecto de ley que prorrogue por dos años los incentivos a la forestación, junto con legislar para eliminar las barreras de entrada que han limitado la incorporación de pequeños y medianos propietarios forestales a los beneficios de la actual legislación sobre bosque nativo.;40%;3;;;10064-01;Extiende la bonificación establecida en el decreto ley N° 701, de 1974, sobre Fomento Forestal, cuyo texto fue reemplazado por el artículo primero del decreto ley N° 2.565, de 1979.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=10488&prmBoletin=10064-01;1;;;;;;;;;Primer Tramite;0,4;1;;;1;;;1;;3;El proyecto de ley en si logra la prorroga de los incentivos a la forestación durante 3 años, pero carece de la legislación en cuanto a la eliminación de las barreras de entrada que limitan la incorporación de pequeños y medianos propietarios forestales.;;;
6;Obras Públicas;Gestión del agua para riego;Debemos mejorar la gestión del agua para riego eficiente. Potenciaremos las políticas de mejoramientos de canales, pozos profundos y de riego técnificado. Para esto se realizarán los cambios legales y se destinarán los recursos necesarios.;0%;1;;;;;;;;;;;;;;;;0;;;;0;;;;;1;;;;
7;Obras Públicas;Recursos hídricos con fines sociales;Avanzaremos en una normativa que haga posible la existencia de la figura recursos hídricos con fines sociales. Estos usos serán prioritarios y establecerán restricciones al ejercicio de todos los demás usos con fines competitivos.;40%;4;;;7543-12;Reforma el Código de Aguas;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7936&prmBoletin=7543-12;1;;;;;;;;;Primer Tramite;0,4;4;2;;6;;;;1;4;El proyecto contempla que se permita a la Administración limitar el ejercicio de los derechos de aprovechamiento en función del interés público, ya sea reduciéndolos temporalmente o redistribuyendo las aguas y establece el consumo humano y el saneamiento como usos prioritarios del agua, los que siempre prevalecerán en el otorgamiento como en la limitación del ejercicio del derecho de aprovechamiento;;;
8;Obras Públicas;Sobre el uso de acuíferos;También modificaremos la normativa para redefinir la utilización de los acuíferos sobre-otorgados de acuerdo al uso efectivo de los derechos.;40%;4;;;7543-12;Reforma el Código de Aguas;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7936&prmBoletin=7543-12;1;;;;;;;;;Primer Tramite;0,4;4;2;;6;;;;1;4;Se establece que las concesiones caducarán por el solo ministerio de la ley si no se hace un uso efectivo del recurso en un plazo de cuatro o de ocho años, según tengan el carácter de derechos consuntivos o no consuntivos.;;;
9;Obras Públicas;Sobre el uso de acuíferos;Adicionalmente, estableceremos la normativa que permita el intercambio de derechos provisionales y eventuales por aquella proporción no utilizada de los derechos. En el caso de acuíferos con baja recarga pero con gran volumen almacenado, definiremos volúmenes de agua que se pueden extraer en plazos determinados sin generar efectos ambientales adversos.;0%;1;;;;;;;;;;;;;;;;0;;;;0;;;;;1;;;;
10;Cultura;Nueva Política Nacional de Museos;Pondremos en marcha una nueva política nacional de museos, que les permita financiarse y mejorar su gestión y contenidos que ofrecen a la ciudadanía.;0%;1;;;;;;;;;;;;;;;;0;;;;0;;;;;1;;;;
